"new_prot_name"	"start"	"end"	"name_cog_md"
"SYNSNP:NSP1"	266	805	"SYNSNP"
"SYNSNP:NSP2"	806	2719	"SYNSNP"
"SYNSNP:NSP3"	2720	8554	"SYNSNP"
"SYNSNP:NSP4"	8555	10054	"SYNSNP"
"SYNSNP:NSP5"	10055	10972	"SYNSNP"
"SYNSNP:NSP6"	10973	11842	"SYNSNP"
"SYNSNP:NSP7"	11843	12091	"SYNSNP"
"SYNSNP:NSP8"	12092	12685	"SYNSNP"
"SYNSNP:NSP9"	12686	13024	"SYNSNP"
"SYNSNP:NSP10"	13025	13441	"SYNSNP"
"SYNSNP:NSP12"	13442	16236	"SYNSNP"
"SYNSNP:NSP13"	16237	18039	"SYNSNP"
"SYNSNP:NSP14"	18040	19620	"SYNSNP"
"SYNSNP:NSP15"	19621	20658	"SYNSNP"
"SYNSNP:NSP16"	20659	21552	"SYNSNP"
"SYNSNP:S"	21563	25384	"SYNSNP"
"SYNSNP:ORF3A"	25393	26220	"SYNSNP"
"SYNSNP:E"	26245	26472	"SYNSNP"
"SYNSNP:M"	26523	27191	"SYNSNP"
"SYNSNP:ORF6"	27202	27387	"SYNSNP"
"SYNSNP:ORF7A"	27394	27759	"SYNSNP"
"SYNSNP:ORF7B"	27756	27887	"SYNSNP"
"SYNSNP:ORF8"	27894	28259	"SYNSNP"
"SYNSNP:N"	28274	29533	"SYNSNP"
"SYNSNP:ORF10"	29558	29674	"SYNSNP"
