"new_prot_name"	"start"	"end"	"name_cog_md"
"NSP1"	1	180	"ORF1AB"
"NSP2"	181	819	"ORF1AB"
"NSP3"	820	2765	"ORF1AB"
"NSP4"	2766	3266	"ORF1AB"
"NSP5"	3267	3573	"ORF1AB"
"NSP6"	3574	3864	"ORF1AB"
"NSP7"	3865	3948	"ORF1AB"
"NSP8"	3949	4147	"ORF1AB"
"NSP9"	4148	4261	"ORF1AB"
"NSP10"	4262	4401	"ORF1AB"
"NSP12"	4402	5334	"ORF1AB"
"NSP13"	5335	5936	"ORF1AB"
"NSP14"	5937	6464	"ORF1AB"
"NSP15"	6465	6811	"ORF1AB"
"NSP16"	6812	7110	"ORF1AB"
"S"	1	1274	"S"
"S:NTD"	13	304	"S"
"S:RBD"	319	541	"S"
"S:FCS"	672	709	"S"
"ORF3A"	1	276	"ORF3A"
"E"	1	76	"E"
"M"	1	223	"M"
"ORF6"	1	62	"ORF6"
"ORF7A"	1	122	"ORF7A"
"ORF7B"	1	44	"ORF7B"
"ORF8"	1	122	"ORF8"
"N"	1	420	"N"
"N:Linker_domain"	199	205	"N"
"ORF10"	1	39	"ORF10"
